# Matter power spectrum P(k) at redshift z=2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.522825867600e-01       3.204819345824e+01 
       6.554814673766e-01       3.170485918169e+01 
       6.586803480665e-01       3.136618029117e+01 
       6.618792288286e-01       3.103224656789e+01 
       6.650781096619e-01       3.070322790503e+01 
       6.682769905654e-01       3.037922067193e+01 
       6.714758715380e-01       3.006012389313e+01 
       6.746747525789e-01       2.974569210800e+01 
       6.778736336869e-01       2.943579106565e+01 
       6.810725148612e-01       2.913003611836e+01 
       6.842713961008e-01       2.882854220759e+01 
       6.874702774049e-01       2.853144294009e+01 
       6.906691587724e-01       2.823883619915e+01 
       6.938680402026e-01       2.795078654190e+01 
       6.970669216946e-01       2.766715254700e+01 
       7.002658032475e-01       2.738766950634e+01 
       7.034646848605e-01       2.711206597246e+01 
       7.066635665328e-01       2.684013409582e+01 
       7.098624482635e-01       2.657185145316e+01 
       7.130613300519e-01       2.630724982212e+01 
       7.162602118973e-01       2.604641282256e+01 
       7.194590937987e-01       2.578936411246e+01 
       7.226579757556e-01       2.553596405228e+01 
       7.258568577672e-01       2.528600045034e+01 
       7.290557398327e-01       2.503926432652e+01 
       7.322546219514e-01       2.479560853568e+01 
       7.354535041227e-01       2.455505024912e+01 
       7.386523863458e-01       2.431771054313e+01 
       7.418512686201e-01       2.408366454787e+01 
       7.450501509449e-01       2.385303418778e+01 
       7.482490333196e-01       2.362557981902e+01 
       7.514479157436e-01       2.340117484756e+01 
       8.213165622076e-01       1.915781575852e+01 
       9.225448477297e-01       1.470713204510e+01 
       1.083599571933e+00       1.014921911690e+01 
       1.337902115014e+00       6.192137928550e+00 
       1.682219824251e+00       3.585932642340e+00 
       2.117754163176e+00       2.052020943635e+00 
       2.666094419192e+00       1.164657935508e+00 
